lib,db,total,pass,fail_FP,error,FP::P1_DP_consistency,FP::P3_cross_rank_replication,FP::P4_model_integrity
lib_full,tp_layernorm_test_db,66,54,6,6,0,1,5
lib_full,tp_main_grad_test_db,66,57,5,4,0,1,4
lib_full,tp_mlp_fc1_test_db,66,57,4,5,0,0,4
lib_full,tp_normal,66,57,3,6,0,0,3
lib_full,tp_optim_state_test_db,66,55,6,5,0,1,5
lib_full,tp_qkv_boundary_jump_test_db,66,55,6,5,0,2,4
lib_full,tp_qkv_distribution_test_db,66,54,5,7,0,1,4
lib_full,tp_requires_grad_test_db,66,56,5,5,0,1,4
lib_full,tp_router_test_db,66,59,4,3,0,1,3
lib_full,tp_shared_experts_same_test_db,66,59,3,4,0,0,3
lib_no_precond,cksum_before_backward_bitwise_level_test_db,93,60,26,7,23,0,3
lib_no_precond,dist_optimizer_normal,93,84,2,7,1,0,1
lib_no_precond,distribution_shape_test_db,93,62,26,5,22,0,4
lib_no_precond,dp_normal,93,83,3,7,2,0,1
lib_no_precond,dp_normal_db,93,83,2,8,1,0,1
lib_no_precond,dtype_test_db,89,84,3,2,3,0,0
lib_no_precond,grad_existence_test_db,93,86,1,6,1,0,0
lib_no_precond,higher_order_stats_test_db,93,60,28,5,25,0,3
lib_no_precond,lr_test_db,93,65,22,6,19,0,3
lib_no_precond,main_grad_after_backward_test_db,93,67,21,5,16,0,5
lib_no_precond,main_grad_test_db,93,67,19,7,16,0,3
lib_no_precond,mixed_precision_normal,93,81,2,10,1,0,1
lib_no_precond,optim_backward_test_db,93,65,18,10,15,0,3
lib_no_precond,optim_state_after_step_test_db,93,80,6,7,3,0,3
lib_no_precond,optim_state_before_backward_test_db,93,79,7,7,3,0,4
lib_no_precond,optim_state_before_optim_step_test_db,93,64,23,6,20,0,3
lib_no_precond,optimizer_state_test_db,93,67,20,6,16,0,4
lib_no_precond,param_bitwise_after_backward_test_db,93,62,24,7,21,0,3
lib_no_precond,param_bitwise_before_optim_test_db,93,58,25,10,22,0,3
lib_no_precond,quantile_test_db,93,64,22,7,19,0,3
lib_no_precond,requires_grad_after_backward_test_db,93,71,16,6,12,0,4
lib_no_precond,requires_grad_before_backward_test_db,93,80,8,5,3,0,5
lib_no_precond,requires_grad_test_db,93,65,21,7,16,0,5
lib_no_precond,shape_test_db,93,85,4,4,4,0,0
lib_no_precond,sharded_same_test_db,93,62,26,5,23,0,3
lib_no_precond,tp_attn_proj_test_db,66,56,5,5,0,1,4
lib_no_precond,tp_embedding_test_db,66,55,4,7,0,0,4
lib_no_precond,tp_grad_boundary_jump_test_db,66,56,2,8,0,0,2
lib_no_precond,tp_grad_distribution_test_db,66,56,3,7,0,1,2
lib_no_precond,tp_grad_nan_test_db,66,57,3,6,0,1,2
lib_no_precond,tp_grad_same_test_db,66,54,3,9,0,1,2
lib_no_precond,tp_layernorm_bias_test_db,66,56,2,8,0,0,2
lib_no_precond,tp_layernorm_test_db,66,55,3,8,0,1,2
lib_no_precond,tp_main_grad_test_db,66,59,3,4,0,0,3
lib_no_precond,tp_mlp_fc1_test_db,66,56,4,6,0,1,3
lib_no_precond,tp_normal,66,56,4,6,0,2,2
lib_no_precond,tp_optim_state_test_db,66,55,4,7,0,2,2
lib_no_precond,tp_qkv_boundary_jump_test_db,66,54,2,10,0,0,2
lib_no_precond,tp_qkv_distribution_test_db,66,55,4,7,0,1,3
lib_no_precond,tp_requires_grad_test_db,66,60,2,4,0,0,2
lib_no_precond,tp_router_test_db,66,59,3,4,0,1,2
lib_no_precond,tp_shared_experts_same_test_db,66,56,3,7,0,0,3
lib_no_topo,cksum_before_backward_bitwise_level_test_db,93,59,24,10,19,0,5
lib_no_topo,dist_optimizer_normal,93,74,9,10,3,0,6
lib_no_topo,distribution_shape_test_db,93,55,26,12,22,0,4
lib_no_topo,dp_normal,93,77,7,9,3,0,4
lib_no_topo,dp_normal_db,93,81,4,8,2,0,2
lib_no_topo,dtype_test_db,93,75,10,8,7,0,3
lib_no_topo,grad_existence_test_db,93,80,4,9,3,0,1
lib_no_topo,higher_order_stats_test_db,93,55,31,7,24,0,7
lib_no_topo,lr_test_db,93,54,29,10,25,0,4
lib_no_topo,main_grad_after_backward_test_db,93,61,23,9,16,0,7
lib_no_topo,main_grad_test_db,93,62,21,10,15,0,6
lib_no_topo,mixed_precision_normal,93,76,8,9,3,0,5
lib_no_topo,optim_backward_test_db,93,61,23,9,16,0,7
lib_no_topo,optim_state_after_step_test_db,93,72,11,10,5,0,6
lib_no_topo,optim_state_before_backward_test_db,93,73,10,10,5,0,5
lib_no_topo,optim_state_before_optim_step_test_db,93,57,29,7,23,0,6
lib_no_topo,optimizer_state_test_db,93,60,23,10,18,0,5
lib_no_topo,param_bitwise_after_backward_test_db,93,58,26,9,22,0,4
lib_no_topo,param_bitwise_before_optim_test_db,93,58,30,5,23,0,7
lib_no_topo,quantile_test_db,93,56,30,7,24,0,6
lib_no_topo,requires_grad_after_backward_test_db,93,65,20,8,15,0,5
lib_no_topo,requires_grad_before_backward_test_db,93,74,11,8,5,0,6
lib_no_topo,requires_grad_test_db,93,55,29,9,22,0,7
lib_no_topo,shape_test_db,93,78,9,6,6,0,3
lib_no_topo,sharded_same_test_db,93,57,26,10,21,0,5
lib_no_topo,tp_attn_proj_test_db,66,54,7,5,0,3,4
lib_no_topo,tp_embedding_test_db,66,48,6,12,0,2,4
lib_no_topo,tp_grad_boundary_jump_test_db,66,50,6,10,0,1,5
lib_no_topo,tp_grad_distribution_test_db,66,51,8,7,0,3,5
lib_no_topo,tp_grad_nan_test_db,66,49,8,9,0,3,5
lib_no_topo,tp_grad_same_test_db,66,50,5,11,0,3,2
lib_no_topo,tp_layernorm_bias_test_db,66,50,6,10,0,2,4
lib_no_topo,tp_layernorm_test_db,66,45,13,8,0,5,8
lib_no_topo,tp_main_grad_test_db,66,50,8,8,0,3,5
lib_no_topo,tp_mlp_fc1_test_db,66,53,7,6,0,3,4
lib_no_topo,tp_normal,66,53,7,6,0,2,5
lib_no_topo,tp_optim_state_test_db,66,54,7,5,0,3,4
lib_no_topo,tp_qkv_boundary_jump_test_db,66,52,7,7,0,4,3
lib_no_topo,tp_qkv_distribution_test_db,66,52,7,7,0,3,4
lib_no_topo,tp_requires_grad_test_db,66,50,8,8,0,2,6
lib_no_topo,tp_router_test_db,66,51,7,8,0,1,6
lib_no_topo,tp_shared_experts_same_test_db,66,51,8,7,0,3,5
